,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('2012-10-01 06:00:00', '2012-10-01 06:05:00')",9.296875,5.7924187725631766,7.9039367762848558,5.57280385078219,8.6225165562913908,06:02:30
"('2012-10-01 06:05:00', '2012-10-01 06:10:00')",9.4989690721649485,5.6590509666080839,7.7260066795910118,5.5811364967779733,8.0199999999999996,06:07:30
"('2012-10-01 06:10:00', '2012-10-01 06:15:00')",9.4003831417624522,5.3798701298701301,7.7134574397505444,5.5638528138528143,8.3601190476190474,06:12:30
"('2012-10-01 06:15:00', '2012-10-01 06:20:00')",9.3856589147286815,5.4804560260586319,7.7114455050437796,5.5950054288816506,8.2682215743440235,06:17:30
"('2012-10-01 06:20:00', '2012-10-01 06:25:00')",9.4166666666666661,5.6904761904761907,7.9401858304297335,5.6121693121693124,8.713414634146341,06:22:30
"('2012-10-01 06:25:00', '2012-10-01 06:30:00')",9.4528301886792452,5.9398734177215191,8.0956447918771772,5.6408227848101262,8.8942307692307701,06:27:30
"('2012-10-01 06:30:00', '2012-10-01 06:35:00')",9.3798977853492342,5.6541786743515852,7.8848583582197564,5.6013448607108547,8.6204986149584482,06:32:30
"('2012-10-01 06:35:00', '2012-10-01 06:40:00')",9.4941373534338354,5.7415565345080761,7.9783773633963664,5.8037200195790506,8.6994382022471903,06:37:30
"('2012-10-01 06:40:00', '2012-10-01 06:45:00')",8.8449367088607591,5.615277777777778,7.6317058445766506,5.4555555555555557,8.4349030470914119,06:42:30
"('2012-10-01 06:45:00', '2012-10-01 06:50:00')",9.0816023738872396,5.7271589486858572,7.7285362044044961,5.4493116395494372,8.3768472906403932,06:47:30
"('2012-10-01 06:50:00', '2012-10-01 06:55:00')",9.311079545454545,5.5440097799511001,7.8377723911689712,5.4751426242868781,8.6582278481012658,06:52:30
"('2012-10-01 06:55:00', '2012-10-01 07:00:00')",9.1281337047353759,5.5030303030303029,7.6418559669032398,5.4387878787878785,8.2944038929440396,06:57:30
