,cap_grade,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('06:00:00', '06:05:00')",0.087591240875912413,0.072992700729927001,0.12760205460935389,0.11678832116788321,0.22222222222222221,06:02:30
"('06:05:00', '06:10:00')",0.13815789473684212,0.13815789473684212,0.16447368421052633,0.16447368421052633,0.21710526315789475,06:07:30
"('06:10:00', '06:15:00')",0.20118343195266272,0.1893491124260355,0.19132149901380671,0.19132149901380671,0.18343195266272189,06:12:30
"('06:15:00', '06:20:00')",0.40641711229946526,0.45989304812834225,0.37345473816062053,0.36541889483065954,0.25405405405405407,06:17:30
"('06:20:00', '06:25:00')",0.16042780748663102,0.24598930481283424,0.19998849979874647,0.19607843137254902,0.19354838709677419,06:22:30
"('06:25:00', '06:30:00')",0.51141552511415522,0.34234234234234234,0.37317454440742109,0.36186186186186187,0.26576576576576577,06:27:30
"('06:30:00', '06:35:00')",0.25462962962962965,0.15454545454545454,0.22427048260381591,0.2106060606060606,0.26363636363636361,06:32:30
"('06:35:00', '06:40:00')",0.20512820512820512,0.097560975609756101,0.1553181622868034,0.11653116531165311,0.16326530612244897,06:37:30
"('06:40:00', '06:45:00')",0.31541218637992829,0.2764505119453925,0.35824647021802924,0.31854379977246872,0.48287671232876711,06:42:30
"('06:45:00', '06:50:00')",0.37987012987012986,0.35562310030395139,0.34506247325884259,0.28976697061803447,0.29969418960244648,06:47:30
"('06:50:00', '06:55:00')",0.48285714285714287,0.40054495912806537,0.38470677800980235,0.33605812897366033,0.27071823204419887,06:52:30
"('06:55:00', '07:00:00')",0.60942760942760943,0.23734177215189872,0.3793028740286124,0.3270042194092827,0.29113924050632911,06:57:30
"('07:00:00', '07:05:00')",0.80058651026392957,0.3168044077134986,0.55805920719284541,0.4967860422405877,0.55678670360110805,07:02:30
"('07:05:00', '07:10:00')",0.75068493150684934,0.17894736842105263,0.40574374817297704,0.36754385964912278,0.28759894459102903,07:07:30
"('07:10:00', '07:15:00')",0.96623376623376622,0.18765432098765433,0.51729934582339221,0.46255144032921813,0.39800995024875624,07:12:30
"('07:15:00', '07:20:00')",0.9463276836158192,0.1702127659574468,0.49540710021236523,0.43794326241134751,0.36968085106382981,07:17:30
"('07:20:00', '07:25:00')",0.91899441340782118,0.24607329842931938,0.4813383600860644,0.41623036649214662,0.27894736842105261,07:22:30
"('07:25:00', '07:30:00')",1.3563829787234043,0.35499999999999998,0.6790658383547522,0.60999999999999999,0.32581453634085211,07:27:30
"('07:30:00', '07:35:00')",1.7694369973190349,0.36363636363636365,0.81748169623469646,0.77229437229437226,0.3193717277486911,07:32:30
"('07:35:00', '07:40:00')",1.4020356234096691,0.30272952853598017,0.68379952280150069,0.65177832919768408,0.34663341645885287,07:37:30
"('07:40:00', '07:45:00')",1.6690997566909975,0.5,0.82931344546704755,0.8108974358974359,0.3188405797101449,07:42:30
"('07:45:00', '07:50:00')",2.1766381766381766,0.43874643874643876,0.94703296703296702,0.94491927825261157,0.2257142857142857,07:47:30
"('07:50:00', '07:55:00')",2.1966759002770084,0.40659340659340659,0.94667936969960909,0.92490842490842495,0.23676880222841226,07:52:30
"('07:55:00', '08:00:00')",2.2184873949579833,0.30874316939890711,0.90798395861076686,0.87340619307832423,0.19672131147540983,07:57:30
"('08:00:00', '08:05:00')",1.7093023255813953,0.35374149659863946,0.74007307360443075,0.70597127739984877,0.15717539863325741,08:02:30
"('08:05:00', '08:10:00')",2.902061855670103,0.38557213930348261,1.1658779983245287,1.1053067993366501,0.20999999999999999,08:07:30
"('08:10:00', '08:15:00')",2.2887700534759357,0.53645833333333337,1.0398330733808674,1.0026041666666667,0.29427083333333331,08:12:30
"('08:15:00', '08:20:00')",2.3977591036414565,0.287292817679558,0.993331913848578,0.96040515653775327,0.2949438202247191,08:17:30
"('08:20:00', '08:25:00')",1.9615384615384615,0.3175,0.85850695786625442,0.82166666666666666,0.29648241206030151,08:22:30
"('08:25:00', '08:30:00')",1.8125,0.42067307692307693,0.85977564102564108,0.8108974358974359,0.34615384615384615,08:27:30
"('08:30:00', '08:35:00')",2.4864197530864196,0.47156398104265401,1.1047594236487253,1.0426540284360191,0.35629453681710216,08:32:30
"('08:35:00', '08:40:00')",2.2005076142131981,0.5611510791366906,1.0179764082502849,0.93525179856115104,0.2922705314009662,08:37:30
"('08:40:00', '08:45:00')",2.187353629976581,0.46308724832214765,0.94565257741043762,0.87994034302759139,0.18651685393258427,08:42:30
"('08:45:00', '08:50:00')",2.1815718157181574,0.41624365482233505,0.9303998981530226,0.84010152284263961,0.19338422391857507,08:47:30
"('08:50:00', '08:55:00')",1.5520231213872833,0.58287292817679559,0.77811401098119337,0.72375690607734811,0.1994459833795014,08:52:30
"('08:55:00', '09:00:00')",1.1155913978494623,0.52083333333333337,0.61057907706093184,0.578125,0.1953125,08:57:30
"('09:00:00', '09:05:00')",1.0675324675324676,0.43037974683544306,0.58052234556764537,0.5527426160337553,0.24365482233502539,09:02:30
"('09:05:00', '09:10:00')",1.2087628865979381,0.4256926952141058,0.61384209629425035,0.58774139378673385,0.20707070707070707,09:07:30
"('09:10:00', '09:15:00')",1.4589743589743589,0.64127764127764131,0.76904951732537941,0.71908271908271904,0.20689655172413793,09:12:30
"('09:15:00', '09:20:00')",1.3262599469496021,0.62755102040816324,0.71435642645940867,0.67006802721088432,0.18925831202046037,09:17:30
"('09:20:00', '09:25:00')",1.6032608695652173,0.70360824742268047,0.83854400119527861,0.7766323024054983,0.20876288659793815,09:22:30
"('09:25:00', '09:30:00')",1.6514745308310992,0.68205128205128207,0.83868169769601231,0.78376068376068375,0.18251928020565553,09:27:30
"('09:30:00', '09:35:00')",1.2128712871287128,0.51666666666666672,0.65288496630092607,0.61031746031746037,0.22911694510739858,09:32:30
"('09:35:00', '09:40:00')",1.0028901734104045,0.37677053824362605,0.53826273013585724,0.5184135977337111,0.23512747875354106,09:37:30
"('09:40:00', '09:45:00')",1.0619718309859154,0.25138121546961328,0.48106243353305839,0.46132596685082872,0.12983425414364641,09:42:30
"('09:45:00', '09:50:00')",0.92097264437689974,0.26548672566371684,0.45087715895518077,0.41887905604719766,0.16617210682492581,09:47:30
"('09:50:00', '09:55:00')",0.68454258675078861,0.33841463414634149,0.39586378907953118,0.36585365853658536,0.16463414634146342,09:52:30
