,delay_grade,overall_grade_avg_of_avgs,overall_grade_direct,speed_grade,time
"('06:00:00', '06:05:00')",0.017167381974248927,3.2135193133047211,3.2135193133047211,6.4098712446351929,06:02:30
"('06:05:00', '06:10:00')",0.0,3.1204943357363542,3.1204943357363542,6.2409886714727083,06:07:30
"('06:10:00', '06:15:00')",0.016,3.1604999999999999,3.1604999999999999,6.3049999999999997,06:12:30
"('06:15:00', '06:20:00')",0.015594541910331383,3.2616959064327489,3.2616959064327484,6.5077972709551659,06:17:30
"('06:20:00', '06:25:00')",0.0,3.0420207743153918,3.0420207743153918,6.0840415486307835,06:22:30
"('06:25:00', '06:30:00')",0.0,3.2415254237288136,3.2415254237288136,6.4830508474576272,06:27:30
"('06:30:00', '06:35:00')",0.0,3.1195848375451263,3.1195848375451263,6.2391696750902526,06:32:30
"('06:35:00', '06:40:00')",0.0,3.2384341637010676,3.2384341637010676,6.4768683274021353,06:37:30
"('06:40:00', '06:45:00')",0.0,3.2715780296425456,3.2715780296425456,6.5431560592850913,06:42:30
"('06:45:00', '06:50:00')",0.013468013468013467,3.3320707070707072,3.3320707070707072,6.6506734006734005,06:47:30
"('06:50:00', '06:55:00')",0.0,3.1938514090520922,3.1938514090520922,6.3877028181041844,06:52:30
"('06:55:00', '07:00:00')",0.0,3.1960132890365447,3.1960132890365447,6.3920265780730894,06:57:30
"('07:00:00', '07:05:00')",0.0,3.2493765586034913,3.2493765586034913,6.4987531172069826,07:02:30
"('07:05:00', '07:10:00')",0.013570822731128074,3.2493638676844783,3.2493638676844783,6.4851569126378283,07:07:30
"('07:10:00', '07:15:00')",0.0,3.2333614153327717,3.2333614153327717,6.4667228306655433,07:12:30
"('07:15:00', '07:20:00')",0.01384083044982699,3.3460207612456747,3.3460207612456747,6.6782006920415222,07:17:30
"('07:20:00', '07:25:00')",0.026823134953897737,3.1320201173512157,3.1320201173512152,6.2372170997485332,07:22:30
"('07:25:00', '07:30:00')",0.0,3.2646808510638299,3.2646808510638299,6.5293617021276598,07:27:30
"('07:30:00', '07:35:00')",0.0,3.3368734069668649,3.3368734069668649,6.6737468139337297,07:32:30
"('07:35:00', '07:40:00')",0.0,3.1672519754170323,3.1672519754170323,6.3345039508340646,07:37:30
