route_id,route_long_name
32,"Zürich, Rotbuchstrasse to Zürich, Nordstrasse"
32,"Zürich, Höfliweg to Zürich, Friesenberg"
32,"Zürich, Kernstrasse to Zürich, Kalkbreite"
32,"Zürich, Militär-/Langstrasse to Zürich, Helvetiaplatz"
32,"Zürich, Helvetiaplatz to Zürich, Kernstrasse"
32,"Zürich, Zwinglihaus to Zürich, Goldbrunnenplatz"
32,"Zürich, Kalkbreite to Zürich, Zwinglihaus"
32,"Zürich, Goldbrunnenplatz to Zürich, Höfliweg"
32,"Zürich, Zehntenhausplatz to Zürich, Einfangstrasse"
32,"Zürich, Im Hagacker to Zürich, Hegianwandweg"
32,"Zürich, Friesenberg to Zürich, Friesenbergstrasse"
32,"Zürich, Friesenbergstrasse to Zürich, Im Hagacker"
32,"Zürich, Holzerhurd to Zürich, Hungerbergstrasse"
32,"Zürich, Hegianwandweg to Zürich, Strassenverkehrsamt"
32,"Zürich, Hungerbergstrasse to Zürich, Zehntenhausplatz"
32,"Zürich, Birchdörfli to Zürich, Radiostudio"
32,"Zürich, Glaubtenstrasse to Zürich, Neuaffoltern"
32,"Zürich, Einfangstrasse to Zürich, Glaubtenstrasse"
32,"Zürich, Neuaffoltern to Zürich, Birchdörfli"
32,"Zürich, Bucheggplatz to Zürich, Lägernstrasse"
32,"Zürich, Radiostudio to Zürich, Bucheggplatz"
32,"Zürich, Lägernstrasse to Zürich, Rotbuchstrasse"
32,"Zürich, Im Hagacker to Zürich, Friesenbergstrasse"
32,"Zürich, Neuaffoltern to Zürich, Glaubtenstrasse"
32,"Zürich, Röntgenstrasse to Zürich, Militär-/Langstrasse"
32,"Zürich, Nordstrasse to Zürich, Limmatplatz"
32,"Zürich, Limmatplatz to Zürich, Röntgenstrasse"
32,"Zürich, Radiostudio to Zürich, Birchdörfli"
32,"Zürich, Bucheggplatz to Zürich, Radiostudio"
32,"Zürich, Birchdörfli to Zürich, Neuaffoltern"
32,"Zürich, Zehntenhausplatz to Zürich, Hungerbergstrasse"
32,"Zürich, Glaubtenstrasse to Zürich, Einfangstrasse"
32,"Zürich, Einfangstrasse to Zürich, Zehntenhausplatz"
32,"Zürich, Strassenverkehrsamt to Zürich, Hegianwandweg"
32,"Zürich, Hungerbergstrasse to Zürich, Holzerhurd"
32,"Zürich, Hegianwandweg to Zürich, Im Hagacker"
32,"Zürich, Kernstrasse to Zürich, Helvetiaplatz"
32,"Zürich, Höfliweg to Zürich, Goldbrunnenplatz"
32,"Zürich, Friesenbergstrasse to Zürich, Friesenberg"
32,"Zürich, Friesenberg to Zürich, Höfliweg"
32,"Zürich, Zwinglihaus to Zürich, Kalkbreite"
32,"Zürich, Goldbrunnenplatz to Zürich, Zwinglihaus"
32,"Zürich, Kalkbreite to Zürich, Kernstrasse"
32,"Zürich, Limmatplatz to Zürich, Nordstrasse"
32,"Zürich, Militär-/Langstrasse to Zürich, Röntgenstrasse"
32,"Zürich, Helvetiaplatz to Zürich, Militär-/Langstrasse"
32,"Zürich, Röntgenstrasse to Zürich, Limmatplatz"
32,"Zürich, Rotbuchstrasse to Zürich, Lägernstrasse"
32,"Zürich, Nordstrasse to Zürich, Rotbuchstrasse"
32,"Zürich, Lägernstrasse to Zürich, Bucheggplatz"
33,"Zürich, Hölderlinsteig to Zürich, Klosbach"
33,"Zürich, Hügelstrasse to Zürich, Waffenplatz-/Bederstr."
33,"Zürich, Morgental to Zürich, Jugendherberge"
33,"Zürich, Bertastrasse to Zürich, Friedhof Sihlfeld"
33,"Zürich, Friedhof Sihlfeld to Zürich, Krematorium Sihlfeld"
33,"Zürich, Thujastrasse to Zürich, Brunau/Mutschellenstr."
33,"Zürich, Jugendherberge to Zürich, Thujastrasse"
33,"Zürich, Brunau/Mutschellenstr. to Zürich, Hügelstrasse"
33,"Zürich, Hardplatz to Zürich, Albisriederplatz"
33,"Zürich, Schaffhauserplatz to Zürich, Rotbuchstrasse"
33,"Zürich, Jugendherberge to Zürich, Besenrainstrasse"
33,"Zürich, Besenrainstrasse to Zürich, Morgental"
33,"Zürich, Bahnhof Wipkingen to Zürich, Rosengartenstrasse"
33,"Zürich, Rotbuchstrasse to Zürich, Nürenbergstrasse"
33,"Zürich, Nürenbergstrasse to Zürich, Bahnhof Wipkingen"
33,"Zürich, Rosengartenstrasse to Zürich, Escher-Wyss-Platz"
33,"Zürich, Bahnhof Hardbrücke to Zürich, Hardplatz"
33,"Zürich, Bahnhof Tiefenbrunnen to Zürich, Wildbachstrasse"
33,"Zürich, Spyriplatz to Zürich, Vogelsangstrasse"
33,"Zürich, Kirche Fluntern to Zürich, Hinterbergstrasse"
33,"Zürich, Hinterbergstrasse to Zürich, Spyriplatz"
33,"Zürich, Seilbahn Rigiblick to Zürich, Scheuchzerstrasse"
33,"Zürich, Vogelsangstrasse to Zürich, Seilbahn Rigiblick"
33,"Zürich, Scheuchzerstrasse to Zürich, Schaffhauserplatz"
33,"Zürich, Botanischer Garten to Zürich, Hegibachplatz"
33,"Zürich, Friedrichstrasse to Zürich, Höschgasse"
33,"Zürich, Wildbachstrasse to Zürich, Friedrichstrasse"
33,"Zürich, Höschgasse to Zürich, Botanischer Garten"
33,"Zürich, Freiestrasse to Zürich, Klusplatz"
33,"Zürich, Hegibachplatz to Zürich, Freiestrasse"
33,"Zürich, Klusplatz to Zürich, Hölderlinsteig"
33,"Zürich, Friedrichstrasse to Zürich, Wildbachstrasse"
33,"Zürich, Seilbahn Rigiblick to Zürich, Vogelsangstrasse"
33,"Zürich, Escher-Wyss-Platz to Zürich, Rosengartenstrasse"
33,"Zürich, Krematorium Sihlfeld to Zürich, Albisriederplatz"
33,"Zürich, Klosbach to Zürich, Hofstrasse"
33,"Zürich, Hofstrasse to Zürich, Kirche Fluntern"
33,"Zürich, Hardplatz to Zürich, Bahnhof Hardbrücke"
33,"Zürich, Albisriederplatz to Zürich, Hardplatz"
33,"Zürich, Nürenbergstrasse to Zürich, Rotbuchstrasse"
33,"Zürich, Rosengartenstrasse to Zürich, Bahnhof Wipkingen"
33,"Zürich, Bahnhof Wipkingen to Zürich, Nürenbergstrasse"
33,"Zürich, Schaffhauserplatz to Zürich, Scheuchzerstrasse"
33,"Zürich, Rotbuchstrasse to Zürich, Schaffhauserplatz"
33,"Zürich, Scheuchzerstrasse to Zürich, Seilbahn Rigiblick"
33,"Zürich, Klosbach to Zürich, Hölderlinsteig"
33,"Zürich, Bethanien to Zürich, Toblerplatz"
33,"Zürich, Vogelsangstrasse to Zürich, Spyriplatz"
33,"Zürich, Spyriplatz to Zürich, Bethanien"
33,"Zürich, Kirche Fluntern to Zürich, Hofstrasse"
33,"Zürich, Toblerplatz to Zürich, Kirche Fluntern"
33,"Zürich, Hofstrasse to Zürich, Klosbach"
33,"Zürich, Freiestrasse to Zürich, Hegibachplatz"
33,"Zürich, Hölderlinsteig to Zürich, Klusplatz"
33,"Zürich, Klusplatz to Zürich, Freiestrasse"
33,"Zürich, Botanischer Garten to Zürich, Höschgasse"
33,"Zürich, Hegibachplatz to Zürich, Botanischer Garten"
33,"Zürich, Höschgasse to Zürich, Friedrichstrasse"
33,"Zürich, Zwinglihaus to Zürich, Bertastrasse"
33,"Zürich, Waffenplatzstrasse to Zürich, Sihlcity Nord"
33,"Zürich, Wildbachstrasse to Zürich, Bahnhof Tiefenbrunnen"
33,"Zürich, Waffenplatz-/Bederstr. to Zürich, Waffenplatzstrasse"
33,"Zürich, Manesseplatz to Zürich, Schmiede Wiedikon"
33,"Zürich, Sihlcity Nord to Zürich, Manesseplatz"
33,"Zürich, Schmiede Wiedikon to Zürich, Zwinglihaus"
33,"Zürich, Albisriederplatz to Zürich, Friedhof Sihlfeld"
33,"Zürich, Waffenplatzstrasse to Zürich, Hügelstrasse"
33,"Zürich, Zwinglihaus to Zürich, Schmiede Wiedikon"
33,"Zürich, Friedhof Sihlfeld to Zürich, Bertastrasse"
33,"Zürich, Bertastrasse to Zürich, Zwinglihaus"
33,"Zürich, Manesseplatz to Zürich, Sihlcity Nord"
33,"Zürich, Schmiede Wiedikon to Zürich, Manesseplatz"
33,"Zürich, Sihlcity Nord to Zürich, Waffenplatzstrasse"
33,"Zürich, Thujastrasse to Zürich, Jugendherberge"
33,"Zürich, Hügelstrasse to Zürich, Brunau/Mutschellenstr."
33,"Zürich, Brunau/Mutschellenstr. to Zürich, Thujastrasse"
72,"Zürich, Schulhaus Altweg to Zürich, Sackzelg"
72,"Zürich, Bucheggplatz to Zürich, Rosengartenstrasse"
72,"Zürich, Albisriederplatz to Zürich, Krematorium Sihlfeld"
72,"Zürich, Sackzelg to Zürich, Schulhaus Altweg"
72,"Zürich, Krematorium Sihlfeld to Zürich, Hubertus"
72,"Zürich, Hubertus to Zürich, Sackzelg"
72,"Zürich, In der Ey to Zürich, Triemli"
72,"Zürich, Schulhaus Altweg to Zürich, In der Ey"
72,"Zürich, Milchbuck to Zürich, Bucheggplatz"
72,"Zürich, Hardplatz to Zürich, Bahnhof Hardbrücke"
72,"Zürich, Bahnhof Hardbrücke to Zürich, Hardplatz"
72,"Zürich, Rosengartenstrasse to Zürich, Escher-Wyss-Platz"
72,"Zürich, Krematorium Sihlfeld to Zürich, Albisriederplatz"
72,"Zürich, Hardplatz to Zürich, Albisriederplatz"
72,"Zürich, Albisriederplatz to Zürich, Hardplatz"
72,"Zürich, Rosengartenstrasse to Zürich, Bucheggplatz"
72,"Zürich, Escher-Wyss-Platz to Zürich, Rosengartenstrasse"
72,"Zürich, Triemli to Zürich, In der Ey"
72,"Zürich, Bucheggplatz to Zürich, Milchbuck"
72,"Zürich, In der Ey to Zürich, Schulhaus Altweg"
72,"Zürich, Sackzelg to Zürich, Hubertus"
72,"Zürich, Hubertus to Zürich, Krematorium Sihlfeld"
67,"Zürich, Fellenbergstrasse to Zürich, Sackzelg"
67,"Zürich, Dunkelhölzli to Zürich, Salzweg"
67,"Zürich, Schulhaus Buchlern to Zürich, Rautistrasse"
67,"Zürich, Salzweg to Zürich, Rautihalde"
67,"Zürich, Rautihalde to Zürich, Schulhaus Buchlern"
67,"Zürich, Untermoosstrasse to Zürich, Albisriederdörfli"
67,"Zürich, Rautistrasse to Zürich, Untermoosstrasse"
67,"Zürich, Albisriederdörfli to Zürich, Fellenbergstrasse"
67,"Zürich, Untermoosstrasse to Zürich, Rautistrasse"
67,"Zürich, Goldbrunnenplatz to Zürich, Gutstrasse"
67,"Zürich, Im Gut to Zürich, Gutstrasse"
67,"Zürich, Sackzelg to Zürich, Langgrütstrasse"
67,"Zürich, Langgrütstrasse to Zürich, Im Gut"
67,"Zürich, Goldbrunnenplatz to Zürich, Schmiede Wiedikon"
67,"Zürich, Gutstrasse to Zürich, Goldbrunnenplatz"
67,"Zürich, Schmiede Wiedikon to Zürich, Goldbrunnenplatz"
67,"Zürich, Langgrütstrasse to Zürich, Sackzelg"
67,"Zürich, Gutstrasse to Zürich, Im Gut"
67,"Zürich, Im Gut to Zürich, Langgrütstrasse"
67,"Zürich, Fellenbergstrasse to Zürich, Albisriederdörfli"
67,"Zürich, Sackzelg to Zürich, Fellenbergstrasse"
67,"Zürich, Albisriederdörfli to Zürich, Untermoosstrasse"
67,"Zürich, Rautihalde to Zürich, Salzweg"
67,"Zürich, Rautistrasse to Zürich, Schulhaus Buchlern"
67,"Zürich, Schulhaus Buchlern to Zürich, Rautihalde"
67,"Zürich, Salzweg to Zürich, Dunkelhölzli"
69,"Zürich, Weihersteig to Zürich, Waidspital"
69,"Zürich, Im Wingert to Zürich, Waidbadstrasse"
69,"Zürich, ETH Hönggerberg to Zürich, Hönggerberg"
69,"Zürich, Hönggerberg to Zürich, Im Wingert"
69,"Zürich, Weihersteig to Zürich, Bucheggplatz"
69,"Zürich, Pflegezentr. Käferberg to Zürich, Waidspital"
69,"Zürich, Waidbadstrasse to Zürich, Pflegezentr. Käferberg"
69,"Zürich, Waidspital to Zürich, Weihersteig"
69,"Zürich, Milchbuck to Zürich, Bucheggplatz"
69,"Zürich, Bucheggplatz to Zürich, Milchbuck"
69,"Zürich, Bucheggplatz to Zürich, Weihersteig"
69,"Zürich, Waidbadstrasse to Zürich, Im Wingert"
69,"Zürich, Waidspital to Zürich, Pflegezentr. Käferberg"
69,"Zürich, Pflegezentr. Käferberg to Zürich, Waidbadstrasse"
69,"Zürich, Hönggerberg to Zürich, ETH Hönggerberg"
69,"Zürich, Im Wingert to Zürich, Hönggerberg"
75,"Zürich, Käshaldenstrasse to Zürich, Köschenrüti"
75,"Zürich, Seebach to Zürich, Ausserdorfstrasse"
75,"Zürich, Seebacherplatz to Zürich, Seebach"
75,"Zürich, Birch-/Glatttalstrasse to Zürich, Leimgrübelstrasse"
75,"Zürich, Ausserdorfstrasse to Zürich, Birch-/Glatttalstrasse"
75,"Zürich, Leimgrübelstrasse to Zürich, Käshaldenstrasse"
75,"Zürich, Schönauring to Zürich, Köschenrüti"
75,"Zürich, Max-Bill-Platz to Zürich, Bahnhof Oerlikon Nord"
75,"Zürich, Buhnstrasse to Zürich, Himmeri"
75,"Zürich, Köschenrüti to Zürich, Schönauring"
75,"Zürich, Schönauring to Zürich, Buhnstrasse"
75,"Zürich, Neunbrunnen to Zürich, Bollingerweg"
75,"Zürich, Himmeri to Zürich, Neunbrunnen"
75,"Zürich, Bollingerweg to Zürich, Max-Bill-Platz"
75,"Zürich, Bollingerweg to Zürich, Neunbrunnen"
75,"Zürich, Bahnhof Oerlikon Nord to Zürich, Max-Bill-Platz"
75,"Zürich, Max-Bill-Platz to Zürich, Bollingerweg"
75,"Zürich, Himmeri to Zürich, Buhnstrasse"
75,"Zürich, Neunbrunnen to Zürich, Himmeri"
75,"Zürich, Buhnstrasse to Zürich, Schönauring"
75,"Zürich, Leimgrübelstrasse to Zürich, Birch-/Glatttalstrasse"
75,"Zürich, Köschenrüti to Zürich, Käshaldenstrasse"
75,"Zürich, Käshaldenstrasse to Zürich, Leimgrübelstrasse"
75,"Zürich, Ausserdorfstrasse to Zürich, Seebach"
75,"Zürich, Birch-/Glatttalstrasse to Zürich, Ausserdorfstrasse"
75,"Zürich, Seebach to Zürich, Seebacherplatz"
77,"Zürich, Botanischer Garten to Zürich, Hegibachplatz"
77,"Zürich, EPI-Klinik to Zürich, Im Walder"
77,"Zürich, Botanischer Garten to Zürich, Altenhofstrasse"
77,"Zürich, Wonnebergstrasse to Zürich, Flühgasse"
77,"Zürich, Altenhofstrasse to Zürich, Wonnebergstrasse"
77,"Zürich, Flühgasse to Zürich, EPI-Klinik"
77,"Zürich, EPI-Klinik to Zürich, Flühgasse"
77,"Zürich, Im Walder to Zürich, Bleulerstrasse"
77,"Zürich, Bleulerstrasse to Zürich, EPI-Klinik"
77,"Zürich, Wonnebergstrasse to Zürich, Altenhofstrasse"
77,"Zürich, Flühgasse to Zürich, Wonnebergstrasse"
304,"Oberengstringen, Paradies to Unterengstringen, Langacher"
304,"Oberengstringen, Zentrum to Oberengstringen, Lanzrain"
304,"Geroldswil, Zentrum to Geroldswil, Dorfstrasse"
304,"Weiningen ZH, Lindenplatz to Weiningen ZH, Schulhaus"
304,"Weiningen ZH, Aegelsee to Weiningen ZH, Ausserdorf"
304,"Unterengstringen, Sennenbüel N to Weiningen ZH, Aegelsee"
304,"Weiningen ZH, Ausserdorf to Weiningen ZH, Lindenplatz"
304,"Geroldswil, Welbrig to Geroldswil, Dorfstrasse"
304,"Weiningen ZH, Schulhaus to Geroldswil, Welbrig"
304,"Geroldswil, Dorfstrasse to Geroldswil, Zentrum"
304,"Fahrweid, Au to Fahrweid, Limmatbrücke"
304,"Geroldswil, Grindlen to Fahrweid, Brunaustrasse"
304,"Geroldswil, Dorfstrasse to Geroldswil, Grindlen"
304,"Fahrweid, Brunaustrasse to Fahrweid, Au"
304,"Unterengstringen, Sennenbüel to Unterengstringen, Langacher"
304,"Fahrweid, Limmatbrücke to Dietikon, Bahnhof"
304,"Unterengstringen, Langacher to Oberengstringen, Paradies"
304,"Oberengstringen, Paradies to Oberengstringen, Zentrum"
304,"Geroldswil, Dorfstrasse to Geroldswil, Zentrum"
304,"Fahrweid, Limmatbrücke to Fahrweid, Au"
304,"Oberengstringen, Eggbühl to Zürich, Frankental"
304,"Oberengstringen, Lanzrain to Oberengstringen, Eggbühl"
303,"Dietikon, Dörfli to Dietikon, Hofacker"
303,"Dietikon, Birmensdorferstrasse to Urdorf, Herweg"
303,"Schlieren, Steinacker to Schlieren, Reitmen"
303,"Urdorf, Luberzen to Schlieren, Steinacker"
303,"Schlieren, Reitmen to Schlieren, Kesslerstrasse"
303,"Schlieren, Kesslerstrasse to Schlieren, Zentrum"
303,"Schlieren, Wagonsfabrik to Schlieren, Gasometerbrücke"
303,"Spreitenbach, Altersheim to Spreitenbach, Brüel"
303,"Dietikon, Vorstadt to Dietikon, Bahnhof"
303,"Dietikon, Oetwilerstrasse to Dietikon, Vorstadt"
303,"Spreitenbach, Shopping Center to Spreitenbach, Altersheim"
303,"Spreitenbach, Asp to Dietikon, Gjuchstrasse"
303,"Spreitenbach, Brüel to Spreitenbach, Asp"
303,"Schlieren, Zentrum to Schlieren, Wagonsfabrik"
303,"Killwangen, Bahnhof to Spreitenbach, Breiti"
303,"Schlieren, Mülligen to Zürich, Micafil"
303,"Schlieren, Gasometerbrücke to Schlieren, Mülligen"
303,"Zürich, Micafil to Zürich, Farbhof"
303,"Spreitenbach, Interio to Spreitenbach, Furttalstrasse"
303,"Spreitenbach, Breiti to Spreitenbach, Interio"
303,"Spreitenbach, Furttalstrasse to Spreitenb, Center Spreitenbach"
303,"Spreitenb, Center Spreitenbach to Spreitenbach, Ikea"
163,"Kilchberg ZH, Emilienheim to Kilchberg ZH, Breitloo"
163,"Kilchberg ZH, Obere Hornhalde to Kilchberg ZH, Emilienheim"
163,"Kilchberg ZH, Schwelle to Kilchberg ZH,Schulhaus Dorfstr"
163,"Kilchberg ZH, Schlimbergstr. to Kilchberg ZH, Kreuzstrasse"
163,"Kilchberg ZH, Breitloo to Kilchberg ZH, Schlimbergstr."
163,"Kilchberg ZH, Kreuzstrasse to Kilchberg ZH, Schwelle"
163,"Kilchberg ZH, Schoorenstrasse to Kilchberg ZH, Lindt & Sprüngli"
163,"Kilchberg ZH,Schulhaus Dorfstr to Kilchberg ZH, Schoorenstrasse"
163,"Kilchberg ZH, Lindt & Sprüngli to Kilchberg ZH, Bahnhof"
163,"Kilchberg ZH, Bahnhof to Kilchberg ZH, Bendlikon"
163,"Kilchberg ZH, Bächlerstrasse to Kilchberg ZH, Obere Hornhalde"
163,"Kilchberg ZH, Schwelle to Kilchberg ZH, Kreuzstrasse"
163,"Kilchberg ZH, Schoorenstrasse to Kilchberg ZH,Schulhaus Dorfstr"
163,"Kilchberg ZH, Lindt & Sprüngli to Kilchberg ZH, Schoorenstrasse"
163,"Kilchberg ZH,Schulhaus Dorfstr to Kilchberg ZH, Schwelle"
163,"Kilchberg ZH, Gottlieb-Binder to Kilchberg ZH, Stockengut"
163,"Kilchberg ZH, Kreuzstrasse to Kilchberg ZH, Gottlieb-Binder"
